event1,latitude1,longitude1,depth1,magnitude1,event2,latitude2,longitude2,depth2,magnitude2,Δτ,cc
2007-04-11T21:26:35.0,40.75,142.23,47.0,3.2,2007-05-14T14:45:55.5,40.75,142.22,47.0,3.1,-0.0630453603024731,0.9810509458817528
2007-06-05T16:02:21.8,40.14,141.13,9.0,3.0,2007-06-05T16:06:37.1,40.14,141.13,10.0,3.0,-0.0104454602013693,0.9451783857213448
2007-10-06T13:33:42.7,39.64,142.11,48.0,3.2,2007-12-15T04:18:16.54,39.6236,142.0184,46.8,3.7,-0.1755636291414142,0.9472898845281148
2012-12-07T22:16:38.12,41.9261,142.3074,63.8,3.3,2014-09-13T23:03:49.41,41.9574,142.3118,66.2,3.4,-1.029028161017534,0.9982412817909504
2012-12-07T22:16:38.12,41.9261,142.3074,63.8,3.3,2017-04-29T19:34:51.07,41.9535,142.3081,66.1,3.4,-0.2382497252706702,0.998982106283584
2012-12-07T22:16:38.12,41.9261,142.3074,63.8,3.3,2014-01-15T23:11:41.16,41.9449,142.3441,69.6,4.0,-0.6522806668646353,0.9123326152186813
2012-12-14T17:11:37.5,40.92,142.16,49.0,3.3,2016-02-29T20:01:16.6,40.8938,142.0647,53.6,3.2,-0.5966609222302197,0.9263078218281744
2012-12-14T17:11:37.5,40.92,142.16,49.0,3.3,2017-08-23T15:12:11.23,40.911,142.1232,50.8,3.2,-0.3077948920195517,0.9772334755836244
2012-12-14T17:11:37.5,40.92,142.16,49.0,3.3,2014-02-01T00:49:57.62,40.898,142.0265,59.2,3.8,-1.06753023184566,0.9157483946814906
2012-12-14T17:11:37.5,40.92,142.16,49.0,3.3,2014-09-02T05:44:14.74,40.8599,142.0169,51.0,3.6,-1.134975321176025,0.95410819062026
2012-12-14T17:11:37.5,40.92,142.16,49.0,3.3,2015-09-24T21:07:26.77,40.8792,142.0285,55.0,3.7,-0.9559264046339296,0.9135199758489688
2012-12-14T17:11:37.5,40.92,142.16,49.0,3.3,2017-01-01T14:55:06.99,40.9032,142.0374,55.6,3.7,-0.5748076838699172,0.942345499888866
2012-12-14T17:11:37.5,40.92,142.16,49.0,3.3,2017-04-27T16:39:04.02,40.8882,142.0704,55.0,3.7,-0.8880050199014822,0.9105692403822638
2012-12-19T16:10:08.5,41.94,142.44,62.0,3.0,2015-09-21T02:57:22.4,41.94,142.44,66.0,3.3,0.2291339574842653,0.9927326084843634
2012-12-19T16:10:08.5,41.94,142.44,62.0,3.0,2014-05-16T18:49:58.19,41.9419,142.4256,61.7,3.7,-0.4963509072632188,0.996878466509926
2012-12-26T01:50:58.6,41.93,142.31,69.0,3.0,2013-08-28T11:00:31.0,41.93,142.32,71.0,3.1,0.0805704240412712,0.9760623209447832
2013-01-07T02:40:15.84,39.7344,141.8296,58.3,3.3,2013-05-20T12:39:00.3,39.7795,141.8402,56.4,3.1,-0.4998554212172977,0.9027086991048792
2013-01-07T02:40:15.84,39.7344,141.8296,58.3,3.3,2015-01-27T01:45:34.8,39.76,141.84,58.0,3.1,-0.4481557595438374,0.9103481583629476
2013-01-07T02:40:15.84,39.7344,141.8296,58.3,3.3,2013-10-08T13:50:00.88,39.7772,141.8957,59.3,3.7,0.0483068356975101,0.9256047483240456
2013-01-07T02:40:15.84,39.7344,141.8296,58.3,3.3,2014-03-19T15:48:37.7,39.7373,141.7907,61.5,3.9,-0.1639536323280038,0.9258780477950046
2013-01-07T02:40:15.84,39.7344,141.8296,58.3,3.3,2014-08-25T19:51:01.18,39.7479,141.8577,60.0,3.8,-0.1270656826420264,0.9456314540075454
2013-01-07T02:40:15.84,39.7344,141.8296,58.3,3.3,2015-01-29T22:18:37.64,39.7467,141.8603,61.9,3.6,0.6046184154811918,0.9375615553978568
2013-01-07T02:40:15.84,39.7344,141.8296,58.3,3.3,2015-10-30T10:32:06.09,39.7488,141.8364,57.8,3.7,-0.5990095814103011,0.9501864431632966
