event1,latitude1,longitude1,depth1,magnitude1,event2,latitude2,longitude2,depth2,magnitude2,Δτ,cc
2007-04-09T23:32:01.7,36.62,141.0,47.0,3.2,2009-08-25T23:54:58.1,36.62,140.99,46.0,3.2,0.0273154583112363,0.9299824226412906
2007-04-15T12:45:03.9,36.22,140.88,45.0,3.1,2011-03-18T10:38:53.5,36.24,140.9,44.0,3.4,0.0264577704188129,0.902086152294258
2007-04-15T12:45:03.9,36.22,140.88,45.0,3.1,2011-08-16T14:25:02.5,36.24,140.9,45.0,3.0,0.0278159009139712,0.909156122015702
2007-04-16T01:17:14.7,35.4,140.98,35.0,3.0,2010-03-06T21:05:59.0,35.39,141.0,36.0,3.1,0.1935375002446479,0.9984441216390272
2007-04-16T01:17:14.7,35.4,140.98,35.0,3.0,2011-04-23T16:42:50.89,35.3923,141.1026,33.0,3.0,1.2946349339855787,0.9876964667557934
2007-04-27T05:02:19.8,36.02,139.95,45.0,3.1,2011-09-01T12:41:35.0,36.02,139.94,42.0,3.3,-0.2253442159158237,0.9077591634889662
2007-04-27T05:02:19.8,36.02,139.95,45.0,3.1,2009-03-25T06:26:16.04,35.9763,139.9557,46.7,4.0,0.1132373046906576,0.966387408966168
2007-04-27T14:04:10.0,37.0,141.51,49.0,3.4,2009-07-14T21:06:31.8,36.98,141.58,38.0,3.4,0.5743901271287324,0.9919268304220852
2007-05-02T04:07:01.0,36.73,141.91,38.0,3.0,2011-06-17T06:32:45.5,36.75,141.79,42.0,3.4,-1.5198815778488814,0.9556365148935806
2007-05-02T04:07:01.0,36.73,141.91,38.0,3.0,2012-05-17T01:06:00.6,36.74,141.92,20.0,3.2,0.7740499886545561,0.964160374460764
2007-05-20T10:23:15.8,36.49,142.53,19.0,3.0,2007-05-20T11:06:19.08,36.468,142.5647,15.0,3.2,-0.3726429572829998,0.9109018975462162
2007-06-01T04:41:29.9,34.73,142.12,54.0,3.1,2011-11-27T08:06:55.4,34.76,142.07,38.0,3.2,-0.5417291493651754,0.9715596953700733
2007-06-16T04:24:53.1,36.12,140.03,49.0,3.0,2011-03-23T14:17:27.3,36.12,140.02,48.0,3.4,-0.0412358478869682,0.9826264448446772
2007-06-16T04:24:53.1,36.12,140.03,49.0,3.0,2011-07-13T00:32:23.4,36.12,140.03,48.0,3.0,-0.0755049977361822,0.9846275598375822
2007-06-17T11:12:02.8,36.7,142.21,27.0,3.0,2011-10-29T14:31:29.7,36.73,142.22,17.0,3.4,0.8061788130892337,0.9592059924596156
