event1,latitude1,longitude1,depth1,magnitude1,event2,latitude2,longitude2,depth2,magnitude2,Δτ,cc
2008-01-08T19:19:53.44,36.5135,140.5491,52.3,3.8,2008-09-25T01:36:44.17,36.4741,140.6021,56.3,3.9,0.2791113957914646,0.9873209504038
2008-01-08T19:19:53.44,36.5135,140.5491,52.3,3.8,2009-10-15T21:56:46.22,36.4231,140.7135,55.3,3.9,1.139782343435642,0.989749653301212
2008-01-08T19:19:53.44,36.5135,140.5491,52.3,3.8,2010-10-26T12:06:19.17,36.4784,140.5983,56.9,3.8,0.2413240103748229,0.9920276432791336
2008-01-08T19:19:53.44,36.5135,140.5491,52.3,3.8,2011-07-16T08:56:38.64,36.4718,140.673,56.1,3.9,0.5123345832960026,0.9885712798421428
2008-01-08T19:19:53.44,36.5135,140.5491,52.3,3.8,2012-02-25T14:26:58.14,36.4923,140.5403,55.3,3.7,-0.1552623253682681,0.9908277185825246
2008-01-08T19:19:53.44,36.5135,140.5491,52.3,3.8,2012-10-19T04:10:48.31,36.4886,140.6278,55.1,3.6,0.4346781109689998,0.989029086549518
2008-01-08T19:19:53.44,36.5135,140.5491,52.3,3.8,2013-08-21T16:14:19.88,36.4871,140.5758,57.4,3.6,0.7813175972137546,0.9900633671272906
2008-01-08T19:19:53.44,36.5135,140.5491,52.3,3.8,2016-01-30T03:34:27.0,36.46,140.6,55.0,3.9,0.4270014029726665,0.930474371452866
2008-01-08T19:19:53.44,36.5135,140.5491,52.3,3.8,2017-08-04T22:55:18.61,36.4892,140.5693,57.1,4.1,0.2893054782772866,0.901969849779161
2008-01-08T19:19:53.44,36.5135,140.5491,52.3,3.8,2018-03-31T08:05:29.23,36.5042,140.5759,55.1,3.8,0.2121799513194135,0.9913834373519148
2008-01-08T19:19:53.44,36.5135,140.5491,52.3,3.8,2019-11-17T23:00:00.46,36.4686,140.6998,57.0,4.1,0.6012176151882896,0.9881861223509264
2008-01-10T23:00:31.66,39.3565,141.9883,49.8,4.7,2018-06-26T11:03:04.62,39.3113,142.156,42.8,4.5,1.1182244223541191,0.9642014543419656
2008-01-19T09:53:20.63,37.0975,141.173,51.2,4.4,2011-11-26T11:09:25.38,37.0973,141.2905,47.4,4.0,0.6745290211340966,0.9892876627269794
2008-01-19T09:53:20.63,37.0975,141.173,51.2,4.4,2012-12-20T15:31:14.79,37.0845,141.21,54.0,4.1,-0.0154160937306608,0.9932040324505612
2008-01-19T09:53:20.63,37.0975,141.173,51.2,4.4,2013-10-17T04:31:57.6,37.0942,141.211,47.7,4.0,0.1967202676819682,0.978067117212664
2008-01-19T09:53:20.63,37.0975,141.173,51.2,4.4,2014-07-30T14:57:06.66,37.0936,141.2082,48.8,3.9,0.0498829069471375,0.9889269984521196
2008-01-19T09:53:20.63,37.0975,141.173,51.2,4.4,2015-11-19T03:39:22.78,37.0822,141.174,52.6,4.0,0.3248560807832756,0.9878809343942616
2008-01-19T09:53:20.63,37.0975,141.173,51.2,4.4,2017-10-06T15:00:41.81,37.0909,141.1982,49.0,4.3,0.2871837085582387,0.9252352052818088
2008-01-19T09:53:20.63,37.0975,141.173,51.2,4.4,2018-09-27T19:32:24.08,37.0924,141.2521,48.6,4.2,0.6460109140205564,0.9901709513584424
2008-01-19T09:53:20.63,37.0975,141.173,51.2,4.4,2020-04-23T01:22:17.95,37.0256,141.2978,46.1,4.0,1.603015597588443,0.9467410876148152
2008-01-24T14:27:08.47,37.5191,142.8968,34.1,4.3,2010-11-01T12:20:57.66,37.4625,143.1796,24.0,4.4,3.234773440915329,0.9766262808815932
2008-01-24T16:07:02.22,37.4402,142.8856,30.7,4.6,2009-10-08T15:47:16.36,37.4667,142.9899,24.0,4.3,1.1858155421598282,0.9799279083632704
2008-01-25T15:56:22.83,38.7552,142.3388,27.0,3.8,2012-10-23T21:55:16.32,38.7675,142.3468,39.0,4.5,-1.5123959224183947,0.9265131940590812
2008-01-31T04:08:41.23,37.4245,143.0981,24.0,4.0,2009-10-07T21:32:58.3,37.4655,142.9587,24.0,3.8,-0.6510436552032673,0.918215667704535
2008-02-10T09:00:09.45,36.1239,141.8795,23.0,3.9,2009-04-08T04:28:51.06,36.1156,141.8592,24.3,3.9,-0.4701368560193078,0.9771678468395576
2008-02-10T09:00:09.45,36.1239,141.8795,23.0,3.9,2011-05-07T19:56:25.7,36.1235,141.927,23.0,3.9,0.2435151825451522,0.924826811695386
2008-02-10T09:00:09.45,36.1239,141.8795,23.0,3.9,2012-03-28T05:14:01.39,36.0276,141.9574,23.0,3.9,0.5566689075920763,0.930206342995754
2008-02-10T11:36:25.09,36.3178,140.004,77.0,3.5,2014-11-21T11:29:00.98,36.3081,140.0091,77.0,3.5,0.0194099594586731,0.977830783502896
2008-03-07T16:54:57.12,36.5023,140.6084,52.1,5.2,2016-07-27T14:47:16.59,36.4969,140.6315,50.1,5.3,0.3747386854725556,0.940648010469256
2008-03-08T21:13:44.23,35.9756,139.937,48.7,4.4,2016-07-17T04:24:01.48,35.9747,139.9424,44.8,4.9,0.6066318373711684,0.9144433137128072
2008-03-15T14:00:45.19,36.1087,142.0812,23.0,3.8,2019-12-08T07:14:53.31,36.2204,141.8755,23.0,3.6,-1.2189986516242746,0.9673383848529624
2008-03-19T16:36:35.92,36.0406,139.8907,47.9,3.8,2011-09-28T11:25:56.31,36.0553,139.8949,51.4,3.5,0.0966814638530821,0.98553385328599
2008-03-19T16:36:35.92,36.0406,139.8907,47.9,3.8,2014-10-06T04:20:09.85,36.0753,139.9078,50.6,3.5,0.0265481261604778,0.9495830936896552
2008-03-19T16:36:35.92,36.0406,139.8907,47.9,3.8,2016-08-27T13:46:28.11,36.0663,139.8847,51.9,4.1,-0.2476304483450187,0.9743700815141566
2008-03-19T16:36:35.92,36.0406,139.8907,47.9,3.8,2020-01-13T19:53:47.98,36.0711,139.9232,46.8,4.7,0.8697338179756928,0.9148466331065518
2008-03-23T03:13:24.4,36.43,140.66,53.0,3.6,2010-11-14T10:08:09.6,36.43,140.66,54.0,3.6,0.0217463760990769,0.9727576932761732
2008-03-23T03:13:24.4,36.43,140.66,53.0,3.6,2012-01-14T15:45:39.17,36.4847,140.7011,51.2,3.8,0.1134015703139196,0.9804770346350932
2008-03-23T03:13:24.4,36.43,140.66,53.0,3.6,2012-11-17T05:40:54.17,36.4459,140.7314,50.9,3.7,0.1075327100385891,0.9636911071658596
2008-03-23T03:13:24.4,36.43,140.66,53.0,3.6,2013-09-19T01:21:41.6,36.43,140.66,52.0,3.6,-0.0802017193969105,0.9324593638344172
2008-03-23T03:13:24.4,36.43,140.66,53.0,3.6,2014-10-17T03:34:18.5,36.43,140.66,53.0,3.5,0.0257371472359195,0.9624697914272516
2008-03-23T03:13:24.4,36.43,140.66,53.0,3.6,2015-08-12T19:29:05.42,36.449,140.7754,53.3,3.6,0.6459377300101047,0.9777866478965068
2008-03-23T03:13:24.4,36.43,140.66,53.0,3.6,2016-08-10T05:50:56.0,36.4293,140.6567,53.1,3.7,-0.0634635170289276,0.9377830242420918
2008-03-23T03:13:24.4,36.43,140.66,53.0,3.6,2017-06-29T22:41:15.2,36.43,140.6557,53.1,3.7,-0.0824411373922254,0.9544765546703752
2008-03-23T03:13:24.4,36.43,140.66,53.0,3.6,2018-03-16T04:09:23.39,36.4317,140.6542,52.9,3.5,-0.1146112978805143,0.9180930164863044
2008-03-23T03:13:24.4,36.43,140.66,53.0,3.6,2019-01-15T07:38:43.19,36.4295,140.656,52.9,3.6,-0.0868133789065753,0.9392159203571796
2008-03-23T03:13:24.4,36.43,140.66,53.0,3.6,2019-10-28T13:28:56.63,36.4615,140.6892,45.4,3.5,-0.9351275065178978,0.973096426960646
2008-03-23T03:13:24.4,36.43,140.66,53.0,3.6,2020-08-12T22:40:23.03,36.4292,140.6567,52.9,3.6,-0.0861817546903968,0.97444755042415
2008-03-23T19:11:17.52,40.0174,143.1293,12.0,4.3,2017-03-06T16:17:21.9,39.8851,143.2933,10.0,4.6,1.5589704173491108,0.9467697505991016
2008-03-24T02:01:58.57,36.0441,139.9674,49.4,3.5,2013-03-13T12:50:03.74,36.0395,139.9827,49.2,3.5,0.1902148066351678,0.9208379867497344
2008-03-30T01:49:07.22,35.7368,140.1122,71.4,4.0,2011-08-02T19:26:03.07,35.7663,140.1539,64.9,4.1,0.8717840456104442,0.9824462654225432
2008-03-30T01:49:07.22,35.7368,140.1122,71.4,4.0,2012-05-28T17:19:27.73,35.77,140.2047,67.7,3.5,0.6544696146482563,0.9144569586600656
2008-04-19T09:44:09.71,36.7412,141.9842,19.0,4.1,2009-12-24T11:37:47.89,36.7098,142.001,7.2,3.9,2.016804796576434,0.972084524870258
2008-04-19T09:44:09.71,36.7412,141.9842,19.0,4.1,2011-05-10T16:12:36.33,36.6892,142.0545,25.8,4.3,0.0882468660699648,0.9573422240146272
2008-04-19T09:44:09.71,36.7412,141.9842,19.0,4.1,2011-07-29T18:27:47.13,36.699,141.94,24.8,4.7,-0.1064661770199808,0.9645258854240748
2008-04-19T09:44:09.71,36.7412,141.9842,19.0,4.1,2012-01-11T01:33:38.03,36.6519,142.0174,24.2,4.3,0.0023543520915628,0.9761136179734172
2008-04-19T09:44:09.71,36.7412,141.9842,19.0,4.1,2012-11-07T15:17:13.16,36.6753,142.041,36.1,4.2,-1.4491065537481265,0.9777628090257808
2008-04-19T09:44:09.71,36.7412,141.9842,19.0,4.1,2013-10-19T05:44:49.87,36.671,141.9703,19.0,4.2,0.8588155341562889,0.977112535566688
2008-04-19T09:44:09.71,36.7412,141.9842,19.0,4.1,2015-10-05T00:26:19.15,36.6471,142.0795,15.2,4.3,1.5540583878425736,0.9801533108149236
