event1,latitude1,longitude1,depth1,magnitude1,event2,latitude2,longitude2,depth2,magnitude2,Δτ,cc
1997-05-03T16:41:48.18,39.9503,142.5397,30.8,3.8,2013-02-26T17:31:16.66,40.0135,142.4851,28.0,4.1,0.6271598394848633,0.9084441416856628
1997-05-03T16:41:48.18,39.9503,142.5397,30.8,3.8,2015-07-31T02:04:10.23,39.9974,142.4976,47.1,4.0,-1.1561062101910484,0.930081983825816
1997-05-03T16:41:48.18,39.9503,142.5397,30.8,3.8,2017-12-10T13:23:44.49,39.9658,142.4285,24.8,3.8,0.6493791692799018,0.9233127704883392
1997-05-03T16:41:48.18,39.9503,142.5397,30.8,3.8,2019-12-12T08:43:58.35,39.9787,142.3707,31.8,3.7,-0.8976549599593158,0.9055643600416432
1997-06-22T08:25:53.12,39.8198,143.362,26.5,4.2,2013-07-27T09:04:45.87,39.8947,143.225,24.8,4.5,-0.598533382381262,0.9460261988648644
1997-06-22T08:25:53.12,39.8198,143.362,26.5,4.2,2014-12-12T05:41:43.18,39.913,143.1393,12.0,4.3,0.9554968673686518,0.9270682505402242
1997-06-22T08:25:53.12,39.8198,143.362,26.5,4.2,2019-03-16T08:00:59.07,39.8941,143.2588,12.0,4.3,1.7113333663243204,0.9376913211249632
1997-06-24T00:41:53.0,40.36,142.09,48.0,3.5,2014-12-29T00:14:40.77,40.3362,142.0102,45.0,3.6,-1.5334313225498226,0.9041254268357328
1997-06-24T00:41:53.0,40.36,142.09,48.0,3.5,2015-12-17T22:58:20.7,40.35,142.18,45.0,3.5,0.3045404508525303,0.9269301312793524
1997-06-24T00:41:53.0,40.36,142.09,48.0,3.5,2016-12-04T02:59:08.87,40.383,142.2331,44.9,3.6,1.0688722280289702,0.9319532121651676
1997-08-24T12:05:00.88,39.6457,142.2096,32.4,3.5,1998-08-30T06:10:27.92,39.6422,142.1852,46.8,4.1,0.2720440981363589,0.9614475979243724
1998-06-08T01:47:41.8,40.37,142.09,52.0,4.0,1998-07-23T22:26:53.9,40.37,142.08,52.0,3.6,-0.0807547951053612,0.9534779095699863
1998-07-23T22:26:53.9,40.37,142.08,52.0,3.6,1998-09-15T00:15:40.1,40.37,142.09,52.0,3.6,-0.0208082783336776,0.9074492571466694
1998-08-30T06:10:27.92,39.6422,142.1852,46.8,4.1,1998-10-16T04:40:11.46,39.632,142.1668,45.1,4.0,-0.1717708496440633,0.9374142539346152
1998-09-02T02:13:19.1,40.29,142.35,33.0,3.7,1998-09-06T02:42:13.6,40.27,142.34,32.0,3.9,-0.4201419392944591,0.9726660536225852
1998-09-02T02:13:19.1,40.29,142.35,33.0,3.7,1998-09-09T18:58:43.58,40.2391,142.2779,27.2,4.1,-1.0906679279606764,0.95528737665612
1998-09-06T02:42:13.6,40.27,142.34,32.0,3.9,1998-09-09T18:58:43.58,40.2391,142.2779,27.2,4.1,-0.6710515915573538,0.9460899986772154
1998-10-27T10:21:50.5,42.0,142.46,57.0,3.5,1999-07-01T11:12:40.4,41.9672,142.5221,61.6,4.1,0.1320631644131463,0.9021175602810448
1999-03-02T19:08:17.0,40.37,142.16,48.0,3.5,2000-02-16T08:56:13.7,40.38,142.2,50.0,3.5,0.3830830417910344,0.9440281155940294
1999-03-31T21:49:40.5,40.88,142.08,52.0,3.5,1999-05-01T12:26:49.18,40.8951,142.0588,54.4,3.6,-0.718390324409086,0.9192340971770668
1999-04-08T02:29:18.0,40.37,142.07,53.0,3.8,2000-02-20T07:41:31.5,40.38,142.09,55.0,3.8,0.2833508868937309,0.9942319016003964
2000-11-20T11:45:02.4,40.37,142.09,52.0,3.6,2001-01-29T12:25:48.7,40.36,142.1,51.0,3.9,-0.1549187569381417,0.9044344597701052
2000-11-20T11:45:02.4,40.37,142.09,52.0,3.6,2001-08-15T11:46:00.6,40.36,142.1,51.0,3.7,-0.1577455055371379,0.9920315843830694
2001-01-29T12:25:48.7,40.36,142.1,51.0,3.9,2001-07-10T09:04:44.1,40.37,142.1,51.0,3.8,-0.0778110669317075,0.9254031320664924
