event1,latitude1,longitude1,depth1,magnitude1,event2,latitude2,longitude2,depth2,magnitude2,Δτ,cc
1997-05-03T21:12:41.2,40.9,142.06,52.0,3.8,1999-05-01T12:26:49.18,40.8951,142.0588,54.4,3.6,-0.5961095698644155,0.9177116302377252
1997-06-06T09:09:31.02,36.0679,139.8705,50.4,3.8,1999-06-12T21:20:44.4,36.1,139.87,47.0,3.7,-0.5715532941123109,0.908311210007557
1997-06-24T23:53:19.64,36.0965,139.9414,48.2,3.8,1998-06-07T23:02:32.1,36.096,139.9046,51.5,3.8,-0.3113708638580063,0.9392868781419887
1997-08-08T17:10:51.45,40.3763,142.291,53.2,4.1,1999-06-15T10:46:42.81,40.3869,142.1943,53.2,3.9,0.5915199608764813,0.9746058888812672
1997-10-22T06:41:00.61,36.0117,140.1413,67.9,3.6,1999-10-06T13:35:55.6,36.01,140.11,68.0,3.6,0.2441180717632808,0.988724095439355
1997-10-22T06:41:00.61,36.0117,140.1413,67.9,3.6,2011-01-19T19:27:34.92,35.984,140.1375,66.1,3.5,0.7375358298779793,0.9002994289037367
1997-11-08T05:16:30.01,36.4874,140.635,55.2,3.9,1998-10-31T18:01:00.17,36.4329,140.6699,54.5,3.9,0.7425963441769757,0.9147671452280848
1997-11-08T05:16:30.01,36.4874,140.635,55.2,3.9,1998-11-07T04:29:18.5,36.45,140.59,55.0,3.8,0.2106412686872403,0.94379347502958
1997-11-08T05:16:30.01,36.4874,140.635,55.2,3.9,2000-03-04T03:35:34.35,36.442,140.6155,55.4,3.7,0.2523584979111046,0.994355166076044
1997-11-08T05:16:30.01,36.4874,140.635,55.2,3.9,2004-01-26T17:43:24.2,36.4852,140.6525,54.9,3.7,0.8965895885182116,0.9085268625068256
1997-11-08T05:16:30.01,36.4874,140.635,55.2,3.9,2004-12-21T08:57:57.04,36.501,140.5676,53.5,3.6,1.0287029585724738,0.906891091507589
