x,y,z0,t,Δsp1,Δsp2,zmax
144.814,37.79,-1973.957536848889,2001-02-25T16:47:26.0,0.3760610222551783,0.21966914004620183,-394.64960976090026
144.87,36.767,-1973.645427195251,2001-02-25T20:55:07.0,-0.6098127426151521,-0.27728235772587684,-631.8268400499035
144.695,35.529,-1972.4833236306436,2001-02-26T00:23:54.0,-2.3198866615813496,-1.727875443705331,-551.6160285576733
144.278,35.01,-1965.098055663114,2001-02-26T03:17:33.0,-1.6112240865728364,-1.2182603745256975,-531.8375705216031
145.021,34.399,-1972.1846464376795,2001-02-26T11:14:43.0,1.3239997121666953,1.087361593294347,-511.5641481830284
146.1,33.948,-1970.8839046592918,2001-02-26T14:44:07.0,-0.4892848609588894,-0.37075203809015217,-729.3580042200341
144.628,35.097,-1972.6557812818314,2001-03-08T00:28:50.0,-2.101583254430786,-1.5616639127323402,-551.6367649737316
143.206,34.769,-1972.6134848242034,2001-03-08T03:15:15.0,0.6742407982482105,0.49945390596575523,-630.9475199616444
144.688,34.791,-1972.21632473256,2001-03-08T11:23:17.0,-0.10570033162494011,-0.09225771632671907,-630.4514396321691
146.189,33.567,-1962.7840087079271,2001-03-08T14:28:35.0,-0.22886748654948594,-0.13716526081246183,-887.8222570407129
146.494,34.671,-1970.5648966655274,2001-03-17T20:42:37.0,-0.7911230985740411,-0.5670733278537422,-690.7263903834712
144.028,34.727,-1972.4238755521324,2001-03-18T00:25:48.0,0.4871599782482598,0.3330094186108001,-531.5534739521241
144.555,34.153,-1972.5212738236696,2001-03-18T08:58:27.0,1.3912833531759445,1.0551921010866878,-551.8796717655845
143.652,34.722,-1972.3264041413356,2001-03-18T11:38:20.0,0.8208188891584627,0.5966367019735225,-570.7635808290847
145.176,33.891,-1970.5983866132574,2001-03-18T14:47:04.0,1.2868557282863797,1.0407486859976915,-492.07444931585326
147.364,34.833,-1972.7992158299014,2001-03-27T20:49:18.0,-0.012261208069784271,0.04296322013106923,-651.0350984715748
146.038,34.475,-1972.5651734446974,2001-03-28T14:36:16.0,0.8123570669237824,0.6542533166150829,-531.664086811872
146.255,35.926,-1972.6114786722048,2001-04-06T20:44:12.0,-0.022615988608594307,0.032079607315183806,-313.6518643435401
146.594,35.747,-1972.2490162078625,2001-04-07T14:40:24.0,-0.42256111145416164,-0.2995759124942638,-650.0927489931231
145.623,35.844,-1972.5273351682042,2001-04-16T20:49:17.0,-0.8925319508808951,-0.7147183359835204,-512.1931063499673
142.409,36.617,-1972.196637067815,2001-04-17T00:36:25.0,-1.5556548825947907,-1.0794056073225964,-491.4627319892881
142.579,36.561,-1971.7147311531203,2001-04-17T11:33:37.0,-1.9399732255485844,-1.3334844804940524,-491.56416541623554
148.469,34.974,-1972.1850941641826,2001-04-17T14:53:02.0,-0.20924630025905383,-0.0950893414091644,-788.7405098514923
146.447,35.645,-1970.2014917317358,2001-04-26T20:51:15.0,0.17849827677405913,0.20244935648155307,-373.6189520614613
143.34,37.653,-1972.3101491284094,2001-04-27T00:31:27.0,-0.4717546471319749,-0.38799699279979355,-392.6731429951952
142.211,36.601,-1972.4943438862122,2001-04-27T09:15:45.0,-1.2027755634765807,-0.8341940447300312,-512.2580608105716
143.218,37.387,-1971.66868058326,2001-04-27T11:34:32.0,-0.637052428734289,-0.50632359802618,-372.76890520607515
149.4,35.165,-1972.250740095676,2001-04-27T14:58:18.0,-0.885503440098191,-0.5918614870159751,-768.8481028505333
147.533,35.436,-1972.892703936155,2001-05-06T20:49:29.0,-0.7685649504521637,-0.5625322024121796,-452.6874323526783
142.32,36.124,-1971.790601200236,2001-05-07T06:18:41.0,-1.7636708659594305,-1.3510372862269524,-630.2792519507545
143.391,37.426,-1972.546772421082,2001-05-07T09:24:42.0,-1.0931514132022053,-0.867049307497483,-432.9975146037362
144.097,37.509,-1971.6472599468361,2001-05-07T11:41:04.0,-0.014818207746020074,0.10190359162176668,-471.5200363021848
148.821,35.532,-1973.466205475641,2001-05-16T20:57:40.0,-0.8343479488977634,-0.6518024983122971,-433.5651598680635
