station,event1,event2,Δτl,Δτc,Δτr,Δτr2,ccl,ccc,ccr,Δτ,Δτp,cs,x1,x2,Δτ2,n1,n2
H11N3,2008-01-08T19:19:53.44,2011-07-16T08:56:38.64,"[0.002262146023152008, 0.05371992739510314]","[0.3744513891018153, 0.385862905899713]","[0.7441529081040061, 0.6774315847662756]","[1.380798306673174, 1.385207183321128]","[0.49246493582158263, 0.20484585758578072]","[0.601551992389647, 0.3777446860225948]","[0.36974401779208327, 0.4065356917674559]",0.3744513891018153,0.5224488670894123,2,-0.147997477987597,-0.011411516797897703,0.385862905899713,-0.011083434050551233,0.002035109298303528
H11N3,2008-01-08T19:19:53.44,2013-08-21T16:14:19.88,"[0.19557679965211375, 0.2706333891995522]","[0.5741015957810224, 0.5814186743956036]","[0.9452086428118532, 0.8730020094940704]","[1.2927485640611978, 1.1536915725874783]","[0.5383397024585208, 0.15908223085811157]","[0.6107651009532705, 0.34973276872909637]","[0.4397450871280593, 0.3191496575803313]",0.5741015957810224,0.7814148463732978,2,-0.20731325059227546,-0.007317078614581196,0.5814186743956036,0.017175345047534374,-0.002035109298303195
H11N3,2008-01-13T21:07:08.64,2014-06-23T23:52:57.54,"[0.30181289301887365, 0.5025411017639194]","[0.6964179101593377, 0.7770735307989268]","[1.0856605357565867, 1.0517115459954494]","[1.4749012364543568, 1.3276542489946577]","[0.6344384013190325, 0.07542956990589159]","[0.7604995289212116, 0.34729705505404773]","[0.694350721513124, 0.4551842463488227]",0.6964179101593377,0.7375761181266218,2,-0.04115820796728409,-0.08065562063958909,0.7770735307989268,0.0012986235959255854,0.0
H11N3,2008-01-19T09:53:20.63,2014-07-30T14:57:06.66,"[-0.2916589209420367, -0.24186196336441507]","[0.06282509343771228, 0.053565032587789246]","[0.4180031777482197, 0.34713177316829447]","[0.7653368844941295, 0.8090351888787632]","[0.50617393610281, 0.43792370043857703]","[0.6536729564716838, 0.4725694911734699]","[0.6052256782599189, 0.2694821087556406]",0.06282509343771228,0.04884165716027351,2,0.013983436277438768,0.009260060849923035,0.053565032587789246,0.006955102942079308,0.0
H11N3,2008-01-26T10:33:18.5,2011-07-16T08:56:38.64,"[-0.380787601669902, -0.2552386091266972]","[-0.0018211757784912332, 0.020869372771075045]","[0.3723658361432875, 0.2956394479037255]","[1.0319108714088923, 1.048078240699223]","[0.4776650631373671, 0.11810779385752547]","[0.6128198989492238, 0.31263326360634347]","[0.41063023118584, 0.31854321489914217]",-0.0018211757784912332,0.20116930965761748,2,-0.2029904854361087,-0.02269054854956628,0.020869372771075045,-0.013001388776078772,-0.0020351092983029264
H11N3,2008-01-26T10:33:18.5,2013-08-21T16:14:19.88,"[-0.1750879940262031, -0.1187261370238259]","[0.20184680087365997, 0.19703698419714935]","[0.5746343563407346, 0.48606318310282187]","[0.9166072191426182, 0.7625846334734994]","[0.5563013769534126, 0.18601227920175245]","[0.6634028913571873, 0.3515467852846956]","[0.43118366993136303, 0.33030719318336504]",0.20184680087365997,0.460135288941503,2,-0.25828848806784305,0.00480981667651062,0.19703698419714935,0.019275160294950966,-0.0020875579219655216
H11N3,2008-01-26T10:33:18.5,2013-11-01T19:56:16.6,"[-1.542890771375212, -1.4527714938218983]","[-1.1771913502644804, -1.1575629321501901]","[-0.8123506184214359, -0.8559490358773217]","[-0.46166074102130555, -0.5570406145815635]","[0.41270283630278015, 0.3407839787738946]","[0.6125501211312074, 0.4164818476577575]","[0.5611807654284898, 0.35748630279617744]",-0.8123506184214359,0.025797275465520297,3,-1.2029886257300006,-0.01962841811429028,-0.8559490358773217,-0.0004925622790522555,0.003990748024245483
H11N3,2008-01-26T10:33:18.5,2016-05-16T03:11:43.97,"[-0.1736101326792906, -0.11090860355393994]","[0.18793332707122093, 0.18182108967743213]","[0.5582504411612784, 0.46433866392194295]","[0.9163154286905706, 0.7373239605694523]","[0.4595324744437137, 0.40024755527939665]","[0.6940144811270291, 0.5564030732267596]","[0.6030633473863369, 0.4892434617684982]",0.18793332707122093,0.21106842897367808,2,-0.023135101902457156,0.0061122373937888,0.18182108967743213,0.027528845344698183,-0.0009431843916194171
H11N3,2008-01-26T10:33:18.5,2018-04-28T11:27:03.15,"[-0.6002981769371607, -0.5791694689273457]","[-0.22719909273911879, -0.28646023649643554]","[0.14396418025551228, -0.003434721830723131]","[0.49182633332246106, 0.5487605828991738]","[0.5876365269190129, 0.3973293357668754]","[0.6325558772563714, 0.4153675997614824]","[0.4139355519333476, 0.2748161481953861]",-0.22719909273911879,0.2881036963280008,2,-0.5153027890671196,0.05926114375731675,-0.28646023649643554,0.02006837918009874,0.001075103587641485
H11N3,2008-03-19T20:06:22.9,2011-03-20T00:58:44.04,"[1.0232452100446543, 1.1487853223345132]","[1.4126843626398449, 1.4272579057245478]","[1.8084759879281045, 1.707617849094349]","[2.2171943732148587, 1.9856834955385132]","[0.5882436475113019, 0.33200028011411686]","[0.7619044442183871, 0.5713887907343989]","[0.5995962744105724, 0.5782879350361969]",1.4126843626398449,1.4461169866634151,2,-0.03343262402357028,-0.014573543084702933,1.4272579057245478,-0.03081237605567977,-0.0011548769778038093
