station,event1,event2,Δτl,Δτc,Δτr,Δτr2,Δτl2,ccl,ccc,ccr,Δτ,Δτp,cs,x1,x2,Δτ2,n1,n2
IU.WAKE.00.BHZ,1997-06-22T08:25:53.12,2013-07-27T09:04:45.87,"[-0.7912930893936079, -0.6838205981437737]","[-0.34286652269705536, -0.4020713343081787]","[0.12603090377986753, -0.11819903233984162]","[0.4949659792836609, -0.11819903233984162]","[-1.2372276205296138, -0.9613272816447404]","[0.7243452920328751, 0.6812328746413508]","[0.8357476992136719, 0.7562315005382422]","[0.30979802584151495, 0.48455501726628236]",-0.7912930893936079,-0.6023014486025076,1,0.2594349259054522,0.05920481161112334,-0.6838205981437737,-0.0036700796825074322,0.0
IU.WAKE.00.BHZ,1998-03-01T20:51:31.22,2011-06-20T23:10:03.35,"[-0.49846912231948287, -0.36216265109604817]","[-0.03021806822934192, -0.06284302010822371]","[0.4768880276915608, 0.526510824761815]","[0.9731350074824889, 0.7933935028312143]","[-1.048988924299711, -0.664511609073749]","[0.5007645755134397, 0.4677495378537595]","[0.6169812481787501, 0.6314169500492687]","[0.373870855426316, 0.3238166151925813]",-0.03021806822934192,0.1978688260849748,2,-0.22808689431431672,0.032624951878881786,-0.06284302010822371,-0.0063755390886108924,0.0
IU.WAKE.00.BHZ,1998-03-06T01:31:18.37,2006-08-24T11:33:02.79,"[-0.8703252683581835, -0.7445037501674534]","[-0.4095605979646019, -0.44395341825033247]","[0.048090308225921245, -0.14014972518517066]","[0.4943459925512263, 0.516139012582277]","[-1.3258551311665747, -1.3284198193519166]","[0.4900911612949607, 0.3063972009810915]","[0.6310777344540588, 0.3115205497342452]","[0.4847825636531687, 0.19877792703447464]",-0.8703252683581835,-1.2565183173539505,1,0.8469577193893485,0.03439282028573054,-0.7445037501674534,0.006505240648870925,0.0
IU.WAKE.00.BHZ,1998-03-08T00:02:05.83,2006-04-02T07:22:55.24,"[-1.5365715915269111, -1.4439304248809601]","[-1.1437611919586415, -1.135537355561895]","[-0.7516878628813481, -0.8266318070904977]","[-0.11143906217141986, -0.19129742527319207]","[-1.886551981329311, -1.7504639079087794]","[0.4969264020134088, 0.6575939594300038]","[0.7788015717432917, 0.8207639853920526]","[0.45912980311261364, 0.7337920286543398]",-0.7516878628813481,0.038656938578456757,3,-1.1824181305370982,-0.008223836396746398,-0.8266318070904977,-0.013482329224106304,-0.009466087336606366
IU.WAKE.00.BHZ,1998-03-08T00:02:05.83,2018-05-12T16:49:37.14,"[-0.010095750599529128, 0.028731567128654493]","[0.39383570510882815, 0.33445603020362924]","[0.812884760843407, 0.6399957263281868]","[1.3615220808209665, 1.4871059495903312]","[-0.38472340891588586, -0.27395249008545913]","[0.6202848590293386, 0.6549578338036749]","[0.6896718871679692, 0.6320390354683618]","[0.33278703307274315, 0.40932898463579004]",0.812884760843407,1.5227276627566309,3,-1.1288919576478027,0.05937967490519891,0.6399957263281868,0.001323224035302828,0.009466087336606699
IU.WAKE.00.BHZ,1998-03-16T23:03:38.19,2005-09-10T20:06:49.54,"[-0.905367890643343, -0.881736191452412]","[-0.5335467688107045, -0.5673108521622802]","[-0.1586252727783425, -0.24760522179468927]","[0.21524694053506588, 0.07637104470983046]","[-1.2661287261852858, -1.1985793001311056]","[0.5806889610285225, 0.729264152712789]","[0.6635008704148939, 0.6965746515290625]","[0.4498115095085631, 0.5174247525593748]",-0.1586252727783425,0.6518674854227403,3,-1.1854142542334447,0.03376408335157566,-0.24760522179468927,-0.012066339757319883,0.0
IU.WAKE.00.BHZ,1998-04-08T01:57:38.45,2008-05-13T18:00:13.67,"[0.0020050874855946027, 0.09537944889341558]","[0.4231149344932652, 0.391494243997813]","[0.8641029586168298, 0.676912131212438]","[1.3129350259354058, 1.2266251760646978]","[-0.4001221178847927, -0.49394252055936605]","[0.49719279110127856, 0.2736676103176139]","[0.6218845212642292, 0.35872097547139453]","[0.5324127575267806, 0.32662101275233163]",0.4231149344932652,0.4572462338648937,2,-0.03413129937162851,0.031620690495452186,0.391494243997813,-0.00010799605544153934,0.0
IU.WAKE.00.BHZ,1998-04-21T11:45:38.73,1998-04-25T23:57:12.9,"[-0.8286858515077862, -0.7311156100141929]","[-0.41490037484974246, -0.40047253499156144]","[-0.006572029399649683, -0.08064265919429459]","[0.36437087337366986, 0.2240595510528376]","[-3.3230889967171, -1.6313485566773311]","[0.45851207717178716, 0.27610009849929046]","[0.6607851387478769, 0.3483485510397544]","[0.4690223899311478, 0.332894827573528]",-0.41490037484974246,-0.39784460032163516,2,-0.017055774528107304,-0.014427839858181024,-0.40047253499156144,-0.0028772205497265,0.0
IU.WAKE.00.BHZ,1998-04-21T17:58:29.4,1998-04-21T21:03:18.6,"[-0.5818413907091728, -0.49592735487304573]","[-0.17900384786867826, -0.18703741400256582]","[0.23222203246973153, 0.12156056526023994]","[0.6300503671070109, 0.4134996781170771]","[-0.9390523910058273, -0.7939967017867012]","[0.3755277320244444, 0.3089674000797649]","[0.613476297070498, 0.3347442397261367]","[0.5065032723907906, 0.2498605952193312]",-0.17900384786867826,-0.1245741307514045,2,-0.05442971711727376,0.00803356613388756,-0.18703741400256582,-0.04845153994509219,0.0
IU.WAKE.00.BHZ,1998-05-21T16:59:47.01,2020-07-09T02:54:57.83,"[-0.9017315905631789, -0.7695607908721571]","[-0.45833256244940657, -0.47124922663386876]","[-0.02080596892412789, -0.17807873729550122]","[0.33062089650183135, 0.3905610638462495]","[-1.397956769377313, -1.364567359475756]","[0.37790066686368773, 0.44821947432655845]","[0.6463479557085804, 0.5180306438107191]","[0.3270521756043319, 0.47679535644467536]",-0.45833256244940657,-0.520384732620716,2,0.062052170171309484,0.01291666418446219,-0.47124922663386876,0.0022156186756642215,0.0
